"year","county","lower","mean","upper"
2023,"Lienchiang County",48.5115979823242,60.875,73.2384020176758
2023,"Miaoli County",35.0413085006153,39.9411764705882,44.8410444405611
2023,"Nantou County",44.9940815410215,52.8260869565217,60.6580923720219
2023,"New Taipei City",39.917282912145,42.3157894736842,44.7142960352234
2023,"Penghu County",24.1403909214047,43.3,62.4596090785953
2023,"Pingtung County",41.0113528616057,47.3918918918919,53.7724309221781
2023,"Taichung City",47.9283339042366,53.5243902439024,59.1204465835683
2023,"Tainan City",42.3603912954482,48.4285714285714,54.4967515616946
2023,"Taipei City",41.678520112187,45.0733944954128,48.4682688786387
2023,"Taitung County",27.1612704585703,31.4166666666667,35.6720628747631
2023,"Taoyuan City",41.0338752648185,44.4105263157895,47.7871773667604
2023,"Yilan County",30.0151272739943,33.8,37.5848727260057
2023,"Yunlin County",48.2509831653855,54.1612903225806,60.0715974797758
2024,"Changhua County",50.4048532558411,58.4615384615385,66.5182236672359
2024,"Chiayi City",48.3235967158145,71.2222222222222,94.1208477286299
2024,"Chiayi County",36.6595588382322,49.9166666666667,63.1737744951011
2024,"Hsinchu City",27.0743480740963,48,68.9256519259037
2024,"Hsinchu County",41.997326793685,56.1764705882353,70.3556143827856
2024,"Hualien County",35.6074499749203,46.25,56.8925500250797
2024,"Kaohsiung City",48.1822359240232,53.1594202898551,58.136604655687
2024,"Keelung City",9.88138579147592,48,86.1186142085241
2024,"Kinmen County",18.4796257733531,74.1666666666667,129.85370755998
2024,"Lienchiang County",38.1914063417325,69.0909090909091,99.9904118400857
2024,"Miaoli County",31.0505247673635,37.6756756756757,44.3008265839878
2024,"Nantou County",48.0848039070055,59.9677419354839,71.8506799639623
2024,"New Taipei City",43.4380227967391,47.1111111111111,50.7841994254831
2024,"Penghu County",36.7496332278836,49.9285714285714,63.1075096292592
2024,"Pingtung County",38.0544009964595,45.92,53.7855990035405
2024,"Taichung City",38.8962106564804,44.5483870967742,50.2005635370679
2024,"Tainan City",53.2302391758322,61.4230769230769,69.6159146703217
2024,"Taipei City",43.1538811293705,47.9871794871795,52.8204778449885
2024,"Taitung County",23.394565574863,28.5,33.605434425137
2024,"Taoyuan City",40.2733873357104,47.8636363636364,55.4538853915623
2024,"Yilan County",34.1096396275271,44.75,55.3903603724729
2024,"Yunlin County",51.8089259875765,61.325,70.8410740124235
